family_n,layer,seed,task_pair,utility_block_difference,utility_ff_difference,utility_sa_difference
60,1,44,maximum__first,-0.04768517285507793,-0.058984550468934076,0.06428114982554689
60,1,55,maximum__first,1.8451094602312272,0.020254848594777285,2.3063660862739197
60,2,11,maximum__first,-0.13252658910350873,0.006658007782728722,-0.11780052098135153
60,2,22,maximum__first,0.17203568774275482,0.042884827750579765,0.10224477781836565
60,2,33,maximum__first,0.057009110879153016,0.019078978737040113,0.05450109790156906
60,2,44,maximum__first,1.9142697456797275,-0.029347801716842998,2.3093141986988486
60,2,55,maximum__first,-0.04506687112152576,-0.010046847641933709,-0.02361216643669953
60,3,11,maximum__first,-0.5211760231526569,0.01321307042768846,-0.5747790206689387
60,3,22,maximum__first,0.1561479061259888,0.09934146580829596,0.08692897154639165
60,3,33,maximum__first,-0.6602899470366538,0.002381350010788689,-1.0983416778617539
60,3,44,maximum__first,0.011603600578382611,-0.008849910941595833,0.021189032475619266
60,3,55,maximum__first,-0.04430359558124716,-0.020360184305657943,-0.04067727600146706
60,4,11,maximum__first,-0.02152531745377928,-0.026817957575743397,-0.008537796011660248
60,4,22,maximum__first,0.058864829262408117,0.020437454474934686,0.03792195375620698
60,4,33,maximum__first,-0.11089649360704547,0.004654572329794367,-0.11768435162957758
60,4,44,maximum__first,0.0010968320265722772,-0.01736051243109008,0.05679747799489026
60,4,55,maximum__first,-0.013975496407753477,-0.01324045864554743,-0.006917441399612774
60,5,11,maximum__first,-1.5425733845486926,0.02774511881095047,-1.4419277570908888
60,5,22,maximum__first,0.334684502108333,-0.009646743454504758,0.2663422514800914
60,5,33,maximum__first,0.026635690328354635,-8.629672229290008e-05,0.02041402889493232
60,5,44,maximum__first,-0.011221105756703764,-0.0081835361624447,-0.008877903999139866
60,5,55,maximum__first,-0.03867552319231133,-0.010883636931733538,-0.024350109789520503
60,6,11,maximum__first,0.033893924788571894,0.009806064081688722,0.033633783599361776
60,6,22,maximum__first,0.02155649943742901,-0.009762015496380626,0.040703288873191926
60,6,33,maximum__first,-0.004820683796424419,-0.0012617259325149158,0.0018132531782612204
60,6,44,maximum__first,0.036357308291674904,-0.004010323757150521,0.03944119633718704
60,6,55,maximum__first,-0.019762916932813825,-0.00930920171085745,-0.014595800133732458
60,7,11,maximum__first,0.0741792410883742,0.005283912003505975,0.07370481450731556
60,7,22,maximum__first,0.06270892478448029,-0.004206199971182893,0.07888885056211924
60,7,33,maximum__first,0.0016658881329931318,0.0005019391421228648,0.001575834055741628
60,7,44,maximum__first,-0.012546407547779382,0.0033996591654916605,-0.016964564841085425
60,7,55,maximum__first,-0.02351057417302703,-0.0017624373043266435,-0.018433729046955706
60,8,11,maximum__first,-0.03187942635656024,-0.009833341809765746,-0.025674453005194664
60,8,22,maximum__first,0.027212032943498343,0.013255836752553781,0.007460860162973404
60,8,33,maximum__first,0.0008967550316204627,0.0012599267298355698,-0.0001403999359657367
